Matriks Badko,Sebaran Badko,Nama Ketum Cabang,Nomor Telfon,Stance Politik
JAWA TIMUR,Pacitan,1.0,,
JAWA TIMUR,Sumenep,3.0,,
JAWA TIMUR,Probolinggo,2.0,,
JAWA TIMUR,Tuban,2.0,,
JAWA TIMUR,Bondowoso - Situbondo,1.0,,
JAWA TIMUR,Pers. Blitar,0.0,,
JAWA TIMUR,Pers. Mojokerto,0.0,,
JAWA TIMUR,Pers. Sampang,0.0,,
NUSA TENGGARA,Denpasar,2.0,,
NUSA TENGGARA,Mataram,3.0,,
NUSA TENGGARA,Kupang,2.0,,
NUSA TENGGARA,Singaraja,2.0,,
NUSA TENGGARA,Selong,2.0,,
NUSA TENGGARA,Bima,2.0,,
NUSA TENGGARA,Sumbawa,2.0,,
NUSA TENGGARA,Lombok Tengah,2.0,,
NUSA TENGGARA,Dompu,2.0,,
NUSA TENGGARA,Sumbawa Barat,2.0,,
NUSA TENGGARA,Alor,1.0,,
NUSA TENGGARA,Ende,1.0,,
KALIMANTAN BARAT,Pontianak,3.0,,
KALIMANTAN BARAT,Mempawah,2.0,,
KALIMANTAN BARAT,Singkawang,2.0,,
KALIMANTAN BARAT,Sintang,2.0,,
KALIMANTAN BARAT,Ketapang,2.0,,
KALIMANTAN BARAT,Sambas,2.0,,
KALIMANTAN SELATAN - TENGAH,Banjarmasin,4.0,,
KALIMANTAN SELATAN - TENGAH,Palangkaraya,3.0,,
KALIMANTAN SELATAN - TENGAH,Banjarbaru,1.0,,
KALIMANTAN SELATAN - TENGAH,Barabai,3.0,,
KALIMANTAN SELATAN - TENGAH,Amuntai,2.0,,
KALIMANTAN SELATAN - TENGAH,Kandangan,3.0,,
KALIMANTAN SELATAN - TENGAH,Sampit,1.0,,
KALIMANTAN SELATAN - TENGAH,Kapuas,1.0,,
KALIMANTAN SELATAN - TENGAH,Pers. Pangkalan Bun,0.0,,
KALIMANTAN TIMUR - UTARA,Samarinda,3.0,,
KALIMANTAN TIMUR - UTARA,Balikpapan,2.0,,
KALIMANTAN TIMUR - UTARA,Kutai Kartanegara,2.0,,
KALIMANTAN TIMUR - UTARA,Tarakan,2.0,,
KALIMANTAN TIMUR - UTARA,Sangatta,2.0,,
KALIMANTAN TIMUR - UTARA,Paser,1.0,,
KALIMANTAN TIMUR - UTARA,Berau,1.0,,
SULAWESI SELATAN - BARAT,Makassar,5.0,,
SULAWESI SELATAN - BARAT,Gowa Raya,4.0,,
SULAWESI SELATAN - BARAT,Makassar Timur,4.0,,
SULAWESI SELATAN - BARAT,Palopo,3.0,,
SULAWESI SELATAN - BARAT,Pare - Pare,3.0,,
SULAWESI SELATAN - BARAT,Pinrang,2.0,,
SULAWESI SELATAN - BARAT,Soppeng,2.0,,
SULAWESI SELATAN - BARAT,Wajo,2.0,,
SULAWESI SELATAN - BARAT,Sidrap,2.0,,
SULAWESI SELATAN - BARAT,Bone,3.0,,
SULAWESI SELATAN - BARAT,Mamuju - Manakarra,3.0,,
SULAWESI SELATAN - BARAT,Polewali Mandar,2.0,,
SULAWESI SELATAN - BARAT,Majene,2.0,,
SULAWESI SELATAN - BARAT,Butta Salewangang Maros,2.0,,
SULAWESI SELATAN - BARAT,Bulukumba,2.0,,
SULAWESI SELATAN - BARAT,Jeneponto,2.0,,
SULAWESI SELATAN - BARAT,Pangkep,2.0,,
SULAWESI SELATAN - BARAT,Sinjai,1.0,,
SULAWESI SELATAN - BARAT,Barru,2.0,,
SULAWESI SELATAN - BARAT,Enrekang,1.0,,
SULAWESI SELATAN - BARAT,Pers. Selayar,0.0,,
SULAWESI SELATAN - BARAT,Takalar,1.0,,
SULAWESI SELATAN - BARAT,Pers. Bantaeng,0.0,,
SULAWESI SELATAN - BARAT,Pers. Mamuju Tengah,0.0,,
SULAWESI TENGAH,Palu,4.0,,
SULAWESI TENGAH,Poso,1.0,,
SULAWESI TENGAH,Tolitoli,3.0,,
SULAWESI TENGAH,Luwuk Banggai,2.0,,
SULAWESI TENGAH,Buol,1.0,,
SULAWESI UTARA - GORONTALO,Manado,3.0,,
SULAWESI UTARA - GORONTALO,Gorontalo,3.0,,
SULAWESI UTARA - GORONTALO,Tondano,3.0,,
SULAWESI UTARA - GORONTALO,Bolaang Mongondow Raya,3.0,,
SULAWESI UTARA - GORONTALO,Limboto,1.0,,
SULAWESI UTARA - GORONTALO,Pohuwato,1.0,,
SULAWESI UTARA - GORONTALO,Pers. Boalemo,0.0,,
SULAWESI TENGGARA,Kendari,3.0,,
SULAWESI TENGGARA,Bau-Bau,2.0,,
SULAWESI TENGGARA,Konawe,2.0,,
SULAWESI TENGGARA,Kolaka,2.0,,
SULAWESI TENGGARA,Kolaka Utara,1.0,,
SULAWESI TENGGARA,Pers. Raha,0.0,,
MALUKU - MALUKU UTARA,Ambon,4.0,,
MALUKU - MALUKU UTARA,Ternate,3.0,,
MALUKU - MALUKU UTARA,Namlea,2.0,,
MALUKU - MALUKU UTARA,Masohi,2.0,,
MALUKU - MALUKU UTARA,Tual,2.0,,
MALUKU - MALUKU UTARA,Seram Bagian Timur,2.0,,
MALUKU - MALUKU UTARA,Sanana,2.0,,
MALUKU - MALUKU UTARA,Tidore,1.0,,
MALUKU - MALUKU UTARA,Pers. Aru,0.0,,
MALUKU - MALUKU UTARA,Pers. Pasifik Morotai,0.0,,
MALUKU - MALUKU UTARA,Pers. Tobelo,0.0,,
MALUKU - MALUKU UTARA,Pers. Jailolo,0.0,,
MALUKU - MALUKU UTARA,Pers. Seram Bagian Barat,0.0,,
MALUKU - MALUKU UTARA,Pers. Bacan,0.0,,
PAPUA - PAPUA BARAT,Jayapura,2.0,,
PAPUA - PAPUA BARAT,Manokowari,2.0,,
PAPUA - PAPUA BARAT,Fak-Fak,2.0,,
PAPUA - PAPUA BARAT,Sorong,2.0,,
PAPUA - PAPUA BARAT,Merauke,2.0,,
PAPUA - PAPUA BARAT,Biak,1.0,,
LUAR NEGERI,Pers. Malaysia,0.0,,
LUAR NEGERI,Pers. Maroko,0.0,,
LUAR NEGERI,Pers. Tiongkok,0.0,,
,,,,
,TOTAL,440.0,,
